transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
2800,8358,76334.0,PARKER-HANNIFIN CORP,2015-02-01,internal,Donald E. Washkewicz,Thomas L. Williams,2014,2016
6506,28338,1451505.0,TRANSOCEAN LTD,2015-02-16,external,"Steven Leon Newman, Ph.D.",Jeremy D. Thigpen,2014,2016
1760,5723,,STARWOOD HOTELS&RESORTS WRLD,2015-02-17,internal,Frits Dirk van Paasschen,Thomas B. Mangas,2014,2016
8181,118122,1521332.0,APTIV PLC,2015-03-01,internal,Rodney O'Neal,Kevin P. Clark,2014,2016
8395,126554,1090872.0,AGILENT TECHNOLOGIES INC,2015-03-18,internal,William P. Sullivan,Michael R. McMullen,2014,2016
4597,13646,98246.0,TIFFANY & CO,2015-03-31,internal,Michael J. Kowalski,Frederic Patrick Cumenal,2014,2016
7347,62263,899866.0,ALEXION PHARMACEUTICALS INC,2015-04-01,internal,Leonard Bell,David L. Hallal,2014,2016
8476,135484,20520.0,FRONTIER COMMUNICATIONS CORP,2015-04-03,internal,Mary Agnes Wilderotter,Daniel J. McCarthy,2014,2016
934,3362,23217.0,CONAGRA BRANDS INC,2015-04-06,external,Gary M. Rodkin,Sean M. Connolly,2014,2016
8256,121077,1048695.0,F5 NETWORKS INC,2015-04-22,external,John McAdam,Manuel F. Rivelo,2014,2016
4210,12389,793952.0,HARLEY-DAVIDSON INC,2015-04-30,internal,Keith E. Wandell,Matthew S. Levatich,2014,2016
538,2403,14272.0,BRISTOL-MYERS SQUIBB CO,2015-05-05,internal,Lamberto Andreotti,"Giovanni Caforio, M.D.",2014,2016
2600,7923,702165.0,NORFOLK SOUTHERN CORP,2015-06-01,internal,"Charles W. Moorman, IV",James A. Squires,2014,2016
7288,61591,1002047.0,NETAPP INC,2015-06-01,internal,Thomas Georgens,George Kurian,2014,2016
2012,6310,1506307.0,KINDER MORGAN INC,2015-06-01,internal,Richard D. Kinder,Steven J. Kean,2014,2016
1123,4016,29534.0,DOLLAR GENERAL CORP,2015-06-03,internal,Richard W. Dreiling,Todd J. Vasos,2014,2016
500,2285,12927.0,BOEING CO,2015-06-30,internal,"W. James McNerney, Jr.",Dennis A. Muilenburg,2014,2016
2614,7974,1111711.0,NISOURCE INC,2015-07-01,internal,"Robert C. Skaggs, Jr.",Joseph J. Hamrock,2014,2016
4706,14225,815556.0,FASTENAL CO,2015-07-20,external,"Leland J. Hein, Jr.",Willard D. Oberton,2014,2016
5336,20779,858877.0,CISCO SYSTEMS INC,2015-07-26,internal,John T. Chambers,Charles H. Robbins,2014,2016
4872,14934,1090012.0,DEVON ENERGY CORP,2015-07-31,internal,John Richels,David A. Hager,2014,2016
8921,162129,1285785.0,MOSAIC CO,2015-08-05,internal,James T. Prokopanko,James C. O'Rourke,2014,2016
8679,145701,1126328.0,PRINCIPAL FINANCIAL GRP INC,2015-08-18,internal,Larry Donald Zimpleman,Daniel J. Houston,2014,2016
2750,8247,79879.0,PPG INDUSTRIES INC,2015-09-01,internal,Charles E. Bunch,Michael H. McGarry,2014,2016
3668,10795,100517.0,UNITED CONTINENTAL HLDGS INC,2015-09-08,external,Jeffery A. Smisek,Oscar Munoz,2014,2016
7279,61574,1000697.0,WATERS CORP,2015-09-08,external,Douglas A. Berthiaume,Christopher James O'Connell,2014,2016
3698,10867,100885.0,UNION PACIFIC CORP,2015-09-30,internal,John J. Koraleski,Lance M. Fritz,2014,2016
7136,60894,941548.0,CAMERON INTERNATIONAL CORP,2015-10-05,internal,Jack B. Moore,Scott C. Rowe,2014,2016
7298,61676,877890.0,CITRIX SYSTEMS INC,2015-10-21,external,Mark B. Templeton,Kirill Tatarinov,2014,2016
2964,8762,80424.0,PROCTER & GAMBLE CO,2015-11-01,internal,Alan George Lafley,David S. Taylor,2014,2016
1370,4640,35527.0,FIFTH THIRD BANCORP,2015-11-01,internal,Kevin T. Kabat,Gregory D. Carmichael,2014,2016
7758,64891,1037038.0,RALPH LAUREN CORP,2015-11-02,external,Ralph Lauren,Stefan Larsson,2014,2016
1715,5606,47217.0,HP INC,2015-11-30,internal,Margaret Cushing Whitman,Dion J. Weisler,2014,2016
