transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
8757,1156375,CME GROUP INC,internal,,,Phupinder S. Gill CEO (6),0001193125-14-129728,ok,,,,0001193125-12-155327,ceo-row-not-found,
7668,1022079,QUEST DIAGNOSTICS INC,external,,,Stephen H. Rusckowski,0000930413-14-001646,ok,,,Surya N. Mohapatra,0000930413-12-001870,ok,
4082,773910,ANADARKO PETROLEUM CORP,internal,,,"R. A. Walker(5) Chairman, President and Chief Executive Officer",0001193125-14-110525,ok,,,James T. Hackett,0001193125-12-130006,ok,
2874,764180,ALTRIA GROUP INC,internal,,,"Martin J. Barrington,",0001193125-14-128947,ok,,,"Michael E. Szymanczyk,",0001193125-12-151138,ok,
195,318154,AMGEN INC,internal,,,"Robert A. Bradway  Chairman of the Board, Chief Executive Officer and President",0001193125-14-129786,ok,,,Kevin W. Sharer,0001193125-12-160159,ok,
2879,1163165,CONOCOPHILLIPS,internal,,,R.M. Lance,0001193125-14-119770,ok,,,J.J. Mulva Chairman & CEO,0001193125-12-134887,ok,
9031,1336920,LEIDOS HOLDINGS INC,external,,,John P. Jumper (7) Chief Executive Officer,0001193125-14-160120,ok,,,Walter P. Havenstein (6) Former Chief Executive Officer,0001193125-12-191730,ok,
2461,717423,MURPHY OIL CORP,internal,,,President and Chief Executive Officer,0001193125-14-108752,ok,,,David M. Wood,0001193125-12-138415,ok,
2299,63908,MCDONALD'S CORP,internal,,,Donald Thompson,0001193125-14-140308,ok,,,James A. Skinner,0001193125-12-162053,ok,
4391,804212,AIRGAS INC,internal,,,Michael L. Molinini(9),0001193125-14-261808,ok,,,Peter McCausland,0001193125-12-296981,ok,
3800,203527,VARIAN MEDICAL SYSTEMS INC,internal,,,Dow R. Wilson,0001193125-14-456296,ok,,,Timothy E. Guertin,0001193125-12-518226,ok,
7402,931336,DEAN FOODS CO,internal,,,Gregg A. Tanner,0001193125-14-139630,ok,,,Gregg L. Engles,0001193125-12-161661,ok,
1816,49826,ILLINOIS TOOL WORKS,internal,,,E. Scott Santi,0001193125-14-110559,ok,,,David B. Speer,0001193125-12-125262,ok,
